experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-4m-20260830-222436,d028m_r000_run01.csv,4,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw06;dw07;dw08,90,1,2026-09-01T10:09:27.591+0200,dw04,0F85,44,2796,-3,-1656,2252,3.06,62225
ground-height-4m-20260830-222436,d028m_r000_run01.csv,4,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw06;dw07;dw08,105,1,2026-09-01T10:09:27.601+0200,dw05,4B92,12,2797,44,-833,2670,2.59,72265
ground-height-4m-20260830-222436,d028m_r000_run01.csv,4,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw06;dw07;dw08,75,1,2026-09-01T10:09:27.641+0200,dw03,021B,132,2788,-38,-2249,1648,1.87,12298
ground-height-4m-20260830-222436,d028m_r000_run01.csv,4,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw06;dw07;dw08,90,1,2026-09-01T10:09:27.790+0200,dw04,0F85,45,2795,5,-1498,2359,2.89,62255
ground-height-4m-20260830-222436,d028m_r000_run01.csv,4,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw06;dw07;dw08,105,1,2026-09-01T10:09:27.800+0200,dw05,4B92,13,2798,42,-863,2661,2.59,72235
ground-height-4m-20260830-222436,d028m_r000_run01.csv,4,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw06;dw07;dw08,75,1,2026-09-01T10:09:27.840+0200,dw03,021B,133,2791,-38,-2255,1643,1.93,12268
ground-height-4m-20260830-222436,d028m_r000_run01.csv,4,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw06;dw07;dw08,90,1,2026-09-01T10:09:27.990+0200,dw04,0F85,46,2800,-2,-1650,2262,3.06,62194
ground-height-4m-20260830-222436,d028m_r000_run01.csv,4,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw06;dw07;dw08,105,1,2026-09-01T10:09:28.000+0200,dw05,4B92,14,2796,32,-1040,2595,2.44,72235
ground-height-4m-20260830-222436,d028m_r000_run01.csv,4,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw06;dw07;dw08,75,1,2026-09-01T10:09:28.040+0200,dw03,021B,134,2786,-46,-2398,1418,1.81,12329
ground-height-4m-20260830-222436,d028m_r000_run01.csv,4,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw06;dw07;dw08,90,1,2026-09-01T10:09:28.191+0200,dw04,0F85,47,2798,-1,-1625,2277,3.09,62286
