experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-4m-20260830-222436,d010m_r090_run01.csv,4,10,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,145,1,2026-09-01T16:43:17.125+0200,dw07,5783,191,1046,121,187,1029,3.15,2147483
ground-height-4m-20260830-222436,d010m_r090_run01.csv,4,10,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,75,1,2026-09-01T16:43:17.146+0200,dw03,021B,181,1037,-29,-780,683,1.51,12298
ground-height-4m-20260830-222436,d010m_r090_run01.csv,4,10,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,165,1,2026-09-01T16:43:17.156+0200,dw08,028E,203,1045,139,299,1001,3.33,22247
ground-height-4m-20260830-222436,d010m_r090_run01.csv,4,10,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,15,1,2026-09-01T16:43:17.165+0200,dw00,8103,85,1054,-154,733,758,2.02,32287
ground-height-4m-20260830-222436,d010m_r090_run01.csv,4,10,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,35,1,2026-09-01T16:43:17.176+0200,dw01,1729,91,1052,-113,995,342,2.83,42327
ground-height-4m-20260830-222436,d010m_r090_run01.csv,4,10,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,55,1,2026-09-01T16:43:17.186+0200,dw02,8FB0,47,1048,-84,-1048,0,2.71,52307
ground-height-4m-20260830-222436,d010m_r090_run01.csv,4,10,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,90,1,2026-09-01T16:43:17.196+0200,dw04,0F85,157,1042,-1,-605,848,3.57,62255
ground-height-4m-20260830-222436,d010m_r090_run01.csv,4,10,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,105,1,2026-09-01T16:43:17.205+0200,dw05,4B92,121,1050,41,-332,996,2.53,72265
ground-height-4m-20260830-222436,d010m_r090_run01.csv,4,10,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,125,1,2026-09-01T16:43:17.215+0200,dw06,0789,189,1045,76,-104,1040,2.38,82244
ground-height-4m-20260830-222436,d010m_r090_run01.csv,4,10,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,145,1,2026-09-01T16:43:17.326+0200,dw07,5783,192,1044,125,209,1022,3.33,2147483
