experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-4m-20260830-222436,d024m_r090_run01.csv,4,24,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw07;dw08,105,1,2026-09-01T12:30:42.551+0200,dw05,4B92,111,2413,36,-834,2265,1.93,72265
ground-height-4m-20260830-222436,d024m_r090_run01.csv,4,24,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw07;dw08,75,1,2026-09-01T12:30:42.591+0200,dw03,021B,253,2396,-52,-2153,1051,2.26,12268
ground-height-4m-20260830-222436,d024m_r090_run01.csv,4,24,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw07;dw08,105,1,2026-09-01T12:30:42.751+0200,dw05,4B92,112,2415,41,-769,2289,2.02,72265
ground-height-4m-20260830-222436,d024m_r090_run01.csv,4,24,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw07;dw08,75,1,2026-09-01T12:30:42.791+0200,dw03,021B,254,2391,-34,-1872,1488,2.32,12268
ground-height-4m-20260830-222436,d024m_r090_run01.csv,4,24,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw07;dw08,55,1,2026-09-01T12:30:42.831+0200,dw02,8FB0,200,2399,169,1136,2113,3.15,52337
ground-height-4m-20260830-222436,d024m_r090_run01.csv,4,24,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw07;dw08,35,1,2026-09-01T12:30:42.853+0200,dw01,1729,5,2401,-121,2149,1070,3.01,74127
ground-height-4m-20260830-222436,d024m_r090_run01.csv,4,24,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw07;dw08,105,1,2026-09-01T12:30:42.951+0200,dw05,4B92,113,2410,51,-608,2332,1.93,72265
ground-height-4m-20260830-222436,d024m_r090_run01.csv,4,24,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw07;dw08,75,1,2026-09-01T12:30:42.991+0200,dw03,021B,255,2393,-44,-2031,1265,2.38,12268
ground-height-4m-20260830-222436,d024m_r090_run01.csv,4,24,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw07;dw08,55,1,2026-09-01T12:30:43.031+0200,dw02,8FB0,201,2398,127,517,2342,3.06,52307
ground-height-4m-20260830-222436,d024m_r090_run01.csv,4,24,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw07;dw08,90,1,2026-09-01T12:30:43.072+0200,dw04,0F85,195,2398,3,-1320,2002,3.78,93444
ground-height-4m-20260830-222436,d024m_r090_run01.csv,4,24,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw07;dw08,105,1,2026-09-01T12:30:43.150+0200,dw05,4B92,114,2412,48,-663,2318,1.93,72265
