experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,105,1,2026-09-01T15:32:08.043+0200,dw05,4B92,9,1812,38,-605,1708,2.50,72265
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,125,1,2026-09-01T15:32:08.053+0200,dw06,0789,219,1804,84,-91,1801,1.87,82305
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,75,1,2026-09-01T15:32:08.083+0200,dw03,021B,77,1806,-41,-1497,1009,1.57,12268
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,55,1,2026-09-01T15:32:08.124+0200,dw02,8FB0,120,1809,-69,-1809,0,2.53,52337
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,90,1,2026-09-01T15:32:08.133+0200,dw04,0F85,43,1812,-4,-1090,1447,4.14,62255
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,105,1,2026-09-01T15:32:08.244+0200,dw05,4B92,10,1815,39,-602,1712,2.38,72265
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,125,1,2026-09-01T15:32:08.253+0200,dw06,0789,220,1805,80,-141,1799,1.99,82305
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,75,1,2026-09-01T15:32:08.284+0200,dw03,021B,78,1802,-35,-1426,1102,1.75,12329
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,55,1,2026-09-01T15:32:08.323+0200,dw02,8FB0,121,1810,-92,1810,0,2.59,52337
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,90,1,2026-09-01T15:32:08.334+0200,dw04,0F85,44,1811,2,-1006,1505,4.14,62255
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,105,1,2026-09-01T15:32:08.443+0200,dw05,4B92,11,1812,31,-688,1676,2.50,72235
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,125,1,2026-09-01T15:32:08.454+0200,dw06,0789,221,1807,101,95,1804,1.81,82305
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,75,1,2026-09-01T15:32:08.483+0200,dw03,021B,79,1806,-33,-1411,1126,1.69,12298
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,55,1,2026-09-01T15:32:08.523+0200,dw02,8FB0,122,1808,-78,-1808,0,2.53,52368
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,90,1,2026-09-01T15:32:08.533+0200,dw04,0F85,45,1810,0,-1025,1491,4.14,62255
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,105,1,2026-09-01T15:32:08.643+0200,dw05,4B92,12,1812,42,-562,1722,2.50,72235
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,125,1,2026-09-01T15:32:08.653+0200,dw06,0789,222,1802,74,-199,1791,1.87,82305
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,75,1,2026-09-01T15:32:08.683+0200,dw03,021B,80,1802,-54,-1635,757,1.63,12298
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,55,1,2026-09-01T15:32:08.723+0200,dw02,8FB0,123,1814,-81,-1814,0,2.53,52307
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,90,1,2026-09-01T15:32:08.733+0200,dw04,0F85,46,1807,0,-1028,1486,4.14,62286
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,105,1,2026-09-01T15:32:08.843+0200,dw05,4B92,13,1815,33,-661,1690,2.38,72265
ground-height-4m-20260830-222436,d018m_r270_run01.csv,4,18,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw07,125,1,2026-09-01T15:32:08.853+0200,dw06,0789,223,1802,80,-133,1797,1.87,82336
