experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-2m-20260828-133428,d016m_r180_run01.csv,2,16,180,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,105,1,2026-08-30T10:44:49.622+0200,dw05,4B92,77,1575,40,-506,1492,1.81,72265
ground-height-2m-20260828-133428,d016m_r180_run01.csv,2,16,180,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,125,1,2026-08-30T10:44:49.632+0200,dw06,0789,143,1581,93,6,1581,2.71,82275
ground-height-2m-20260828-133428,d016m_r180_run01.csv,2,16,180,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,75,1,2026-08-30T10:44:49.662+0200,dw03,021B,183,1568,-34,-1234,966,2.71,12268
ground-height-2m-20260828-133428,d016m_r180_run01.csv,2,16,180,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,15,1,2026-08-30T10:44:49.681+0200,dw00,8103,169,1596,-163,1016,1230,4.20,32287
ground-height-2m-20260828-133428,d016m_r180_run01.csv,2,16,180,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,55,1,2026-08-30T10:44:49.701+0200,dw02,8FB0,95,1585,-97,1585,0,2.65,52307
ground-height-2m-20260828-133428,d016m_r180_run01.csv,2,16,180,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,90,1,2026-08-30T10:44:49.712+0200,dw04,0F85,43,1590,-12,-1035,1207,3.01,62255
ground-height-2m-20260828-133428,d016m_r180_run01.csv,2,16,180,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,145,1,2026-08-30T10:44:49.741+0200,dw07,5783,56,1575,140,460,1506,2.38,2147483
ground-height-2m-20260828-133428,d016m_r180_run01.csv,2,16,180,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,35,1,2026-08-30T10:44:49.792+0200,dw01,1729,86,1586,-136,1275,943,2.89,42327
ground-height-2m-20260828-133428,d016m_r180_run01.csv,2,16,180,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,105,1,2026-08-30T10:44:49.821+0200,dw05,4B92,78,1576,43,-477,1502,1.87,72265
ground-height-2m-20260828-133428,d016m_r180_run01.csv,2,16,180,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,125,1,2026-08-30T10:44:49.832+0200,dw06,0789,144,1579,97,47,1578,2.59,82305
ground-height-2m-20260828-133428,d016m_r180_run01.csv,2,16,180,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,75,1,2026-08-30T10:44:49.861+0200,dw03,021B,184,1570,-46,-1350,800,2.65,12268
