experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-2m-20260828-133428,d024m_r270_run01.csv,2,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw08,75,1,2026-08-30T08:29:29.867+0200,dw03,021B,41,2358,-53,-2121,1029,2.83,12268
ground-height-2m-20260828-133428,d024m_r270_run01.csv,2,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw08,15,1,2026-08-30T08:29:29.886+0200,dw00,8103,71,2386,-150,1713,1660,2.02,32257
ground-height-2m-20260828-133428,d024m_r270_run01.csv,2,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw08,35,1,2026-08-30T08:29:29.896+0200,dw01,1729,177,2372,-38,-1926,1385,2.44,42297
ground-height-2m-20260828-133428,d024m_r270_run01.csv,2,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw08,105,1,2026-08-30T08:29:29.926+0200,dw05,4B92,7,2365,50,-621,2282,3.33,72235
ground-height-2m-20260828-133428,d024m_r270_run01.csv,2,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw08,125,1,2026-08-30T08:29:29.936+0200,dw06,0789,159,2367,86,-91,2365,3.01,82305
ground-height-2m-20260828-133428,d024m_r270_run01.csv,2,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw08,145,1,2026-08-30T08:29:30.047+0200,dw07,5783,39,2367,133,597,2290,2.77,2147483
ground-height-2m-20260828-133428,d024m_r270_run01.csv,2,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw08,75,1,2026-08-30T08:29:30.066+0200,dw03,021B,42,2360,-39,-1919,1373,2.95,12268
ground-height-2m-20260828-133428,d024m_r270_run01.csv,2,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw08,15,1,2026-08-30T08:29:30.087+0200,dw00,8103,72,2382,-154,1655,1713,2.14,32257
ground-height-2m-20260828-133428,d024m_r270_run01.csv,2,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw08,35,1,2026-08-30T08:29:30.096+0200,dw01,1729,178,2378,-134,1936,1381,2.44,42297
ground-height-2m-20260828-133428,d024m_r270_run01.csv,2,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw08,105,1,2026-08-30T08:29:30.127+0200,dw05,4B92,8,2371,51,-608,2292,3.33,72235
