experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,145,1,2026-08-30T19:32:04.480+0200,dw07,5783,169,254,108,26,252,4.35,2147483
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,75,1,2026-08-30T19:32:04.500+0200,dw03,021B,149,243,-12,-156,185,2.83,12268
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,55,1,2026-08-30T19:32:04.540+0200,dw02,8FB0,190,254,-46,-219,129,3.06,52337
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,90,1,2026-08-30T19:32:04.550+0200,dw04,0F85,127,249,9,-127,214,3.69,62225
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,105,1,2026-08-30T19:32:04.560+0200,dw05,4B92,6,252,40,-81,239,3.57,72235
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,125,1,2026-08-30T19:32:04.569+0200,dw06,0789,49,253,78,-22,252,3.78,82305
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,165,1,2026-08-30T19:32:04.610+0200,dw08,028E,205,250,127,53,244,3.57,22277
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,15,1,2026-08-30T19:32:04.620+0200,dw00,8103,165,263,-124,232,125,2.08,32287
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,35,1,2026-08-30T19:32:04.630+0200,dw01,1729,222,256,-84,-256,0,2.32,42327
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,145,1,2026-08-30T19:32:04.680+0200,dw07,5783,170,251,109,26,250,4.35,2147483
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,75,1,2026-08-30T19:32:04.699+0200,dw03,021B,150,246,-22,-175,173,2.77,12237
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,55,1,2026-08-30T19:32:04.739+0200,dw02,8FB0,191,254,-47,-219,129,3.01,52337
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,90,1,2026-08-30T19:32:04.750+0200,dw04,0F85,128,253,8,-130,216,3.69,62286
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,105,1,2026-08-30T19:32:04.760+0200,dw05,4B92,7,251,36,-85,236,3.51,72235
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,125,1,2026-08-30T19:32:04.770+0200,dw06,0789,50,253,81,-16,252,3.72,82275
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,165,1,2026-08-30T19:32:04.810+0200,dw08,028E,206,250,128,56,243,3.57,22277
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,15,1,2026-08-30T19:32:04.819+0200,dw00,8103,166,264,-125,230,129,2.14,32226
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,35,1,2026-08-30T19:32:04.830+0200,dw01,1729,223,255,-75,-255,0,2.32,42266
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,145,1,2026-08-30T19:32:04.880+0200,dw07,5783,171,254,104,18,253,4.35,2147483
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,75,1,2026-08-30T19:32:04.900+0200,dw03,021B,151,247,-10,-156,191,2.65,12268
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,55,1,2026-08-30T19:32:04.940+0200,dw02,8FB0,192,254,-41,-211,142,2.89,52337
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,90,1,2026-08-30T19:32:04.949+0200,dw04,0F85,129,256,7,-134,218,3.72,62255
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,105,1,2026-08-30T19:32:04.960+0200,dw05,4B92,8,248,37,-84,233,3.57,72235
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,125,1,2026-08-30T19:32:04.970+0200,dw06,0789,51,254,83,-13,253,3.78,82305
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,165,1,2026-08-30T19:32:05.010+0200,dw08,028E,207,250,129,57,243,3.57,22277
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,15,1,2026-08-30T19:32:05.020+0200,dw00,8103,167,263,-132,218,146,2.08,32287
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,35,1,2026-08-30T19:32:05.029+0200,dw01,1729,224,253,-77,-253,0,2.32,42358
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,145,1,2026-08-30T19:32:05.080+0200,dw07,5783,172,252,107,23,251,4.35,2147483
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,75,1,2026-08-30T19:32:05.100+0200,dw03,021B,152,244,-9,-154,190,2.71,12237
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,55,1,2026-08-30T19:32:05.140+0200,dw02,8FB0,193,255,-44,-216,137,2.95,52337
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,90,1,2026-08-30T19:32:05.149+0200,dw04,0F85,130,255,3,-139,214,3.78,62255
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,105,1,2026-08-30T19:32:05.159+0200,dw05,4B92,9,253,40,-80,239,3.45,72235
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,125,1,2026-08-30T19:32:05.170+0200,dw06,0789,52,251,74,-28,250,3.78,82305
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,165,1,2026-08-30T19:32:05.210+0200,dw08,028E,208,257,128,57,251,3.57,22308
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,15,1,2026-08-30T19:32:05.220+0200,dw00,8103,168,265,-129,225,140,2.02,32287
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,35,1,2026-08-30T19:32:05.230+0200,dw01,1729,225,253,-84,-253,0,2.32,42297
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,145,1,2026-08-30T19:32:05.279+0200,dw07,5783,173,259,108,26,258,4.35,2147483
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,75,1,2026-08-30T19:32:05.300+0200,dw03,021B,153,244,-11,-157,187,2.59,12268
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,55,1,2026-08-30T19:32:05.340+0200,dw02,8FB0,194,253,-38,-204,148,2.95,52368
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,90,1,2026-08-30T19:32:05.350+0200,dw04,0F85,131,255,7,-134,217,3.78,62255
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,105,1,2026-08-30T19:32:05.359+0200,dw05,4B92,10,253,33,-91,236,3.51,72235
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,125,1,2026-08-30T19:32:05.369+0200,dw06,0789,53,253,73,-29,251,3.78,82305
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,165,1,2026-08-30T19:32:05.409+0200,dw08,028E,209,254,118,41,251,3.63,22277
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,15,1,2026-08-30T19:32:05.420+0200,dw00,8103,169,261,-128,223,137,2.08,32287
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,35,1,2026-08-30T19:32:05.430+0200,dw01,1729,226,254,-87,254,0,2.26,42297
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,145,1,2026-08-30T19:32:05.480+0200,dw07,5783,174,252,105,20,251,4.35,2147483
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,75,1,2026-08-30T19:32:05.499+0200,dw03,021B,154,241,-20,-168,173,2.59,12268
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,55,1,2026-08-30T19:32:05.539+0200,dw02,8FB0,195,254,-46,-218,130,2.89,52307
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,90,1,2026-08-30T19:32:05.550+0200,dw04,0F85,132,256,3,-140,214,3.78,62255
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,105,1,2026-08-30T19:32:05.560+0200,dw05,4B92,11,250,29,-97,230,3.57,72235
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,125,1,2026-08-30T19:32:05.569+0200,dw06,0789,54,252,78,-21,251,3.78,82275
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,165,1,2026-08-30T19:32:05.609+0200,dw08,028E,210,256,134,65,247,3.57,22277
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,15,1,2026-08-30T19:32:05.619+0200,dw00,8103,170,259,-123,228,121,2.08,32226
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,35,1,2026-08-30T19:32:05.630+0200,dw01,1729,227,255,-85,-255,0,2.32,42297
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,145,1,2026-08-30T19:32:05.680+0200,dw07,5783,175,253,113,32,251,4.29,2147483
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,75,1,2026-08-30T19:32:05.699+0200,dw03,021B,155,243,-14,-159,183,2.59,12237
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,55,1,2026-08-30T19:32:05.739+0200,dw02,8FB0,196,254,-39,-207,148,3.01,52337
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,90,1,2026-08-30T19:32:05.749+0200,dw04,0F85,133,254,13,-123,222,3.72,62255
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,105,1,2026-08-30T19:32:05.760+0200,dw05,4B92,12,249,33,-91,232,3.57,72265
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,125,1,2026-08-30T19:32:05.769+0200,dw06,0789,55,252,76,-24,250,3.78,82305
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,165,1,2026-08-30T19:32:05.810+0200,dw08,028E,211,255,119,42,251,3.57,22277
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,15,1,2026-08-30T19:32:05.819+0200,dw00,8103,171,262,-127,226,133,1.99,32287
ground-height-2m-20260828-133428,d002m_r270_run01.csv,2,2,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,,35,1,2026-08-30T19:32:05.829+0200,dw01,1729,228,254,-82,-254,0,2.32,42297
