experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,55,1,2026-08-26T19:36:14.511+0200,dw02,8FB0,100,2958,15,-1405,2603,1.87,52429
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:14.621+0200,dw04,0F85,60,2958,6,-1575,2504,2.83,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:14.821+0200,dw04,0F85,61,2954,19,-1332,2636,2.95,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:15.021+0200,dw04,0F85,62,2956,-12,-1924,2244,2.89,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:15.221+0200,dw04,0F85,63,2953,17,-1364,2619,2.83,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:15.421+0200,dw04,0F85,64,2957,22,-1284,2664,2.95,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:15.620+0200,dw04,0F85,65,2953,-5,-1794,2345,2.83,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:15.820+0200,dw04,0F85,66,2956,11,-1488,2554,2.89,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,55,1,2026-08-26T19:36:15.910+0200,dw02,8FB0,107,2961,17,-1368,2626,1.87,52429
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:16.021+0200,dw04,0F85,67,2956,18,-1361,2624,2.89,62316
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,55,1,2026-08-26T19:36:16.110+0200,dw02,8FB0,108,2961,22,-1276,2672,1.87,52337
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:16.221+0200,dw04,0F85,68,2960,20,-1324,2647,2.89,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,55,1,2026-08-26T19:36:16.311+0200,dw02,8FB0,109,2958,62,-552,2906,1.87,52398
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:16.420+0200,dw04,0F85,69,2960,-4,-1775,2368,2.77,62286
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,55,1,2026-08-26T19:36:16.511+0200,dw02,8FB0,110,2959,10,-1494,2554,1.93,52368
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,90,1,2026-08-26T19:36:16.620+0200,dw04,0F85,70,2957,13,-1444,2580,2.95,62255
ground-height-0m-20260825-163632,d030m_r000_run01.csv,0,30,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw03;dw05;dw06;dw07;dw08,55,1,2026-08-26T19:36:16.710+0200,dw02,8FB0,111,2961,59,-617,2896,1.75,52368
