experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-0m-20260825-163632,d012m_r000_run01.csv,0,12,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw04;dw05;dw06;dw08,55,1,2026-08-28T08:09:40.816+0200,dw02,8FB0,255,1158,-74,-1159,0,3.90,52398
ground-height-0m-20260825-163632,d012m_r000_run01.csv,0,12,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw04;dw05;dw06;dw08,145,1,2026-08-28T08:09:40.856+0200,dw07,5783,11,1166,86,-46,1165,2.02,2147483
ground-height-0m-20260825-163632,d012m_r000_run01.csv,0,12,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw04;dw05;dw06;dw08,35,1,2026-08-28T08:09:40.906+0200,dw01,1729,212,1157,-131,969,632,3.01,42297
ground-height-0m-20260825-163632,d012m_r000_run01.csv,0,12,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw04;dw05;dw06;dw08,75,1,2026-08-28T08:09:40.976+0200,dw03,021B,164,1153,-20,-804,826,1.87,12268
ground-height-0m-20260825-163632,d012m_r000_run01.csv,0,12,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw04;dw05;dw06;dw08,55,1,2026-08-28T08:09:41.016+0200,dw02,8FB0,0,1159,-89,1159,0,3.90,52368
ground-height-0m-20260825-163632,d012m_r000_run01.csv,0,12,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw04;dw05;dw06;dw08,145,1,2026-08-28T08:09:41.056+0200,dw07,5783,12,1171,107,104,1167,2.20,2147483
ground-height-0m-20260825-163632,d012m_r000_run01.csv,0,12,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw04;dw05;dw06;dw08,35,1,2026-08-28T08:09:41.106+0200,dw01,1729,213,1155,-126,1000,577,2.95,42297
ground-height-0m-20260825-163632,d012m_r000_run01.csv,0,12,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw04;dw05;dw06;dw08,75,1,2026-08-28T08:09:41.176+0200,dw03,021B,165,1147,-22,-817,805,2.14,12268
ground-height-0m-20260825-163632,d012m_r000_run01.csv,0,12,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw04;dw05;dw06;dw08,55,1,2026-08-28T08:09:41.216+0200,dw02,8FB0,1,1160,-84,-1160,0,3.90,52368
ground-height-0m-20260825-163632,d012m_r000_run01.csv,0,12,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw04;dw05;dw06;dw08,145,1,2026-08-28T08:09:41.256+0200,dw07,5783,13,1175,104,82,1172,2.08,2147483
