experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:49.446+0200,dw08,028E,1,2756,121,480,2714,-11.80,35491
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:49.633+0200,dw08,028E,2,2764,128,610,2696,-0.50,22369
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:49.833+0200,dw08,028E,3,2758,126,571,2698,2.38,22308
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:50.032+0200,dw08,028E,4,2759,136,732,2660,2.38,22277
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:50.232+0200,dw08,028E,5,2758,102,155,2754,2.50,22277
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:50.432+0200,dw08,028E,6,2758,134,714,2664,2.50,22308
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:50.632+0200,dw08,028E,7,2759,118,438,2724,2.44,22277
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:50.832+0200,dw08,028E,8,2757,127,582,2695,2.44,22308
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:51.032+0200,dw08,028E,9,2762,135,724,2665,2.50,22308
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:51.232+0200,dw08,028E,10,2762,138,775,2651,2.50,22338
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:51.431+0200,dw08,028E,11,2757,118,436,2722,2.53,22277
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:51.632+0200,dw08,028E,12,2762,120,475,2721,2.50,22308
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:51.832+0200,dw08,028E,13,2757,132,674,2673,2.44,22277
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:52.032+0200,dw08,028E,14,2766,140,806,2646,2.59,22247
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:52.231+0200,dw08,028E,15,2764,126,571,2704,2.53,22308
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:52.431+0200,dw08,028E,16,2766,139,799,2648,2.50,22308
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:52.847+0200,dw08,028E,18,2759,128,610,2690,2.59,37933
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:53.032+0200,dw08,028E,19,2762,114,373,2737,2.53,22338
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:53.231+0200,dw08,028E,20,2760,119,445,2723,2.50,22308
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:53.431+0200,dw08,028E,21,2762,113,354,2739,2.59,22308
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:53.631+0200,dw08,028E,22,2763,134,714,2669,2.59,22308
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:53.830+0200,dw08,028E,23,2767,134,705,2675,2.59,22277
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:54.031+0200,dw08,028E,24,2766,138,779,2654,2.71,22338
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:54.231+0200,dw08,028E,25,2765,145,900,2614,2.65,22277
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:54.431+0200,dw08,028E,26,2762,132,676,2678,2.59,22277
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:54.630+0200,dw08,028E,27,2761,131,647,2684,2.53,22308
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:54.830+0200,dw08,028E,28,2759,127,595,2694,2.59,22308
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:55.031+0200,dw08,028E,29,2763,105,208,2755,2.59,22338
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:55.231+0200,dw08,028E,30,2764,112,335,2744,2.53,22247
ground-height-0m-20260825-163632,d028m_r000_run01.csv,0,28,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,165,1,2026-08-26T20:05:55.430+0200,dw08,028E,31,2763,128,598,2698,2.59,22308
