experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,145,1,2026-08-27T12:42:52.206+0200,dw07,5783,123,2169,126,448,2122,3.33,2147483
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,75,1,2026-08-27T12:42:52.226+0200,dw03,021B,138,2159,-42,-1806,1182,3.78,12359
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,165,1,2026-08-27T12:42:52.237+0200,dw08,028E,46,2172,-138,1713,1336,2.32,22369
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,15,1,2026-08-27T12:42:52.262+0200,dw00,8103,236,2183,-157,1471,1613,3.90,47821
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,105,1,2026-08-27T12:42:52.286+0200,dw05,4B92,152,2173,48,-595,2090,3.06,72204
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,125,1,2026-08-27T12:42:52.296+0200,dw06,0789,176,2168,96,49,2167,2.77,82275
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,165,1,2026-08-27T12:42:52.336+0200,dw08,028E,45,2162,0,-1250,1765,3.15,22277
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,145,1,2026-08-27T12:42:52.406+0200,dw07,5783,124,2165,133,543,2096,3.33,2147483
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,75,1,2026-08-27T12:42:52.426+0200,dw03,021B,139,2161,-42,-1805,1188,3.78,12268
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,165,1,2026-08-27T12:42:52.436+0200,dw08,028E,47,2175,-120,1961,940,2.38,22338
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,15,1,2026-08-27T12:42:52.446+0200,dw00,8103,237,2177,-152,1531,1548,3.57,32257
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,55,1,2026-08-27T12:42:52.482+0200,dw02,8FB0,51,2168,-104,2168,0,2.65,68115
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,125,1,2026-08-27T12:42:52.496+0200,dw06,0789,177,2170,90,-38,2170,2.71,82305
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,165,1,2026-08-27T12:42:52.536+0200,dw08,028E,46,2167,5,-1166,1826,3.21,22277
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,145,1,2026-08-27T12:42:52.606+0200,dw07,5783,125,2166,126,442,2121,3.33,2147483
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,75,1,2026-08-27T12:42:52.626+0200,dw03,021B,140,2162,-42,-1799,1197,3.90,12268
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,165,1,2026-08-27T12:42:52.636+0200,dw08,028E,48,2175,-135,1755,1285,2.38,22308
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,15,1,2026-08-27T12:42:52.646+0200,dw00,8103,238,2177,-157,1469,1606,3.57,32257
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,55,1,2026-08-27T12:42:52.666+0200,dw02,8FB0,52,2167,-84,-2167,0,2.50,52368
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,125,1,2026-08-27T12:42:52.696+0200,dw06,0789,178,2172,93,6,2172,2.95,82244
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,105,1,2026-08-27T12:42:52.701+0200,dw05,4B92,154,2173,51,-558,2100,3.15,87768
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,165,1,2026-08-27T12:42:52.736+0200,dw08,028E,47,2168,10,-1097,1869,3.21,22247
ground-height-0m-20260825-163632,d022m_r090_run01.csv,0,22,90,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw04,145,1,2026-08-27T12:42:52.806+0200,dw07,5783,126,2170,124,426,2128,3.33,2147483
