experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,55,1,2026-08-28T07:21:10.902+0200,dw02,8FB0,95,1555,-99,1555,0,2.95,52337
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,90,1,2026-08-28T07:21:10.911+0200,dw04,0F85,149,1561,5,-843,1313,-3.36,62255
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,105,1,2026-08-28T07:21:10.921+0200,dw05,4B92,220,1561,58,-330,1525,3.09,72265
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,125,1,2026-08-28T07:21:10.931+0200,dw06,0789,204,1560,91,-10,1560,3.57,82275
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,165,1,2026-08-28T07:21:10.971+0200,dw08,028E,61,1561,145,504,1477,2.02,22338
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,75,1,2026-08-28T07:21:11.061+0200,dw03,021B,169,1552,-33,-1209,974,2.59,12268
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,55,1,2026-08-28T07:21:11.101+0200,dw02,8FB0,96,1558,5,-843,1311,3.01,52368
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,90,1,2026-08-28T07:21:11.112+0200,dw04,0F85,150,1559,8,-811,1332,-3.42,62286
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,105,1,2026-08-28T07:21:11.121+0200,dw05,4B92,221,1554,52,-382,1507,3.15,72265
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,125,1,2026-08-28T07:21:11.131+0200,dw06,0789,205,1559,88,-38,1558,3.69,82275
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,165,1,2026-08-28T07:21:11.171+0200,dw08,028E,62,1566,122,283,1541,2.02,22308
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,75,1,2026-08-28T07:21:11.261+0200,dw03,021B,170,1549,-34,-1218,958,2.59,12268
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,55,1,2026-08-28T07:21:11.301+0200,dw02,8FB0,97,1555,33,-573,1446,2.95,52307
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,90,1,2026-08-28T07:21:11.311+0200,dw04,0F85,151,1563,3,-860,1305,-3.42,62255
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,105,1,2026-08-28T07:21:11.322+0200,dw05,4B92,222,1557,49,-415,1501,3.06,72265
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,125,1,2026-08-28T07:21:11.331+0200,dw06,0789,206,1566,94,18,1565,3.69,82275
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,165,1,2026-08-28T07:21:11.371+0200,dw08,028E,63,1561,142,481,1485,2.14,22308
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,75,1,2026-08-28T07:21:11.461+0200,dw03,021B,171,1547,-28,-1160,1023,2.59,12298
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,55,1,2026-08-28T07:21:11.501+0200,dw02,8FB0,98,1556,41,-488,1477,2.95,52368
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,90,1,2026-08-28T07:21:11.511+0200,dw04,0F85,152,1565,12,-772,1361,-3.36,62255
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,105,1,2026-08-28T07:21:11.520+0200,dw05,4B92,223,1559,50,-407,1505,3.15,72265
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,125,1,2026-08-28T07:21:11.531+0200,dw06,0789,207,1561,101,84,1559,3.57,82275
ground-height-0m-20260825-163632,d016m_r270_run01.csv,0,16,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw07,165,1,2026-08-28T07:21:11.570+0200,dw08,028E,64,1562,147,521,1473,2.02,22308
