experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,125,1,2026-08-27T12:04:06.689+0200,dw06,0789,42,2368,88,-70,2367,-2.47,82275
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,75,1,2026-08-27T12:04:06.720+0200,dw03,021B,15,2351,-38,-1909,1371,3.57,12268
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,15,1,2026-08-27T12:04:06.840+0200,dw00,8103,153,2379,148,812,2236,3.33,32226
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,55,1,2026-08-27T12:04:06.859+0200,dw02,8FB0,27,2367,-88,2367,0,3.57,52307
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,90,1,2026-08-27T12:04:06.869+0200,dw04,0F85,143,2370,0,-1364,1938,3.57,62225
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,105,1,2026-08-27T12:04:06.879+0200,dw05,4B92,238,2367,55,-546,2303,3.27,72235
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,125,1,2026-08-27T12:04:06.889+0200,dw06,0789,43,2366,105,181,2359,-2.47,82275
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,75,1,2026-08-27T12:04:06.919+0200,dw03,021B,16,2353,-39,-1915,1367,3.57,12268
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,15,1,2026-08-27T12:04:07.039+0200,dw00,8103,154,2378,-146,1766,1592,3.33,32257
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,55,1,2026-08-27T12:04:07.059+0200,dw02,8FB0,28,2360,-100,2360,0,3.57,52307
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,90,1,2026-08-27T12:04:07.069+0200,dw04,0F85,144,2367,10,-1201,2039,3.69,62255
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,105,1,2026-08-27T12:04:07.079+0200,dw05,4B92,239,2369,44,-712,2259,3.33,72235
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,125,1,2026-08-27T12:04:07.089+0200,dw06,0789,44,2364,97,68,2363,-2.47,82275
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,75,1,2026-08-27T12:04:07.119+0200,dw03,021B,17,2352,-31,-1796,1518,3.51,12268
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,15,1,2026-08-27T12:04:07.239+0200,dw00,8103,155,2378,-142,1822,1527,3.33,32257
ground-height-0m-20260825-163632,d024m_r270_run01.csv,0,24,270,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw07;dw08,55,1,2026-08-27T12:04:07.260+0200,dw02,8FB0,29,2366,-93,2366,0,3.57,52307
