experiment_id,run_file,node_height_m,target_distance_m,tag_rotation_deg,expected_tags,participating_tags,missing_tags,tag_bearing_deg,valid_position,time,tag,a16,seq,range_cm,pdoa_deg,x_cm,y_cm,clk_ppm,t_us
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,90,1,2026-08-27T13:04:04.604+0200,dw04,0F85,99,1966,4,-1065,1652,4.08,62225
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,75,1,2026-08-27T13:04:04.653+0200,dw03,021B,3,1968,-34,-1550,1213,2.38,12268
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,90,1,2026-08-27T13:04:04.803+0200,dw04,0F85,100,1960,17,-912,1734,4.02,62225
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,75,1,2026-08-27T13:04:04.854+0200,dw03,021B,4,1965,-20,-1377,1402,2.44,12268
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,90,1,2026-08-27T13:04:05.003+0200,dw04,0F85,101,1964,12,-969,1708,4.08,62255
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,75,1,2026-08-27T13:04:05.053+0200,dw03,021B,5,1963,-34,-1538,1220,2.38,12268
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,15,1,2026-08-27T13:04:05.073+0200,dw00,8103,16,1976,-165,1233,1544,2.50,32226
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,90,1,2026-08-27T13:04:05.203+0200,dw04,0F85,102,1966,19,-886,1755,4.02,62255
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,75,1,2026-08-27T13:04:05.253+0200,dw03,021B,6,1961,-35,-1557,1192,2.32,12268
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,90,1,2026-08-27T13:04:05.403+0200,dw04,0F85,103,1963,14,-943,1722,3.90,62225
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,75,1,2026-08-27T13:04:05.453+0200,dw03,021B,7,1961,-37,-1574,1170,2.38,12268
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,90,1,2026-08-27T13:04:05.604+0200,dw04,0F85,104,1964,12,-969,1708,4.02,62255
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,75,1,2026-08-27T13:04:05.653+0200,dw03,021B,8,1965,-20,-1367,1411,2.32,12268
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,15,1,2026-08-27T13:04:05.673+0200,dw00,8103,19,1978,-80,-1978,0,2.44,32287
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,90,1,2026-08-27T13:04:05.803+0200,dw04,0F85,105,1967,10,-1003,1692,4.02,62225
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,75,1,2026-08-27T13:04:05.853+0200,dw03,021B,9,1962,-50,-1731,925,2.26,12268
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,90,1,2026-08-27T13:04:06.003+0200,dw04,0F85,106,1963,6,-1045,1662,4.02,62255
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,75,1,2026-08-27T13:04:06.053+0200,dw03,021B,10,1967,-48,-1710,973,2.38,12298
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,90,1,2026-08-27T13:04:06.203+0200,dw04,0F85,107,1962,0,-1128,1605,4.08,62286
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,75,1,2026-08-27T13:04:06.253+0200,dw03,021B,11,1963,-43,-1646,1069,2.38,12268
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,15,1,2026-08-27T13:04:06.273+0200,dw00,8103,22,1971,165,885,1761,2.50,32287
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,90,1,2026-08-27T13:04:06.402+0200,dw04,0F85,108,1963,2,-1095,1629,3.96,62194
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,75,1,2026-08-27T13:04:06.453+0200,dw03,021B,12,1964,-34,-1541,1217,2.32,12237
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,90,1,2026-08-27T13:04:06.603+0200,dw04,0F85,109,1959,7,-1037,1663,4.14,62225
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,75,1,2026-08-27T13:04:06.653+0200,dw03,021B,13,1967,-34,-1545,1218,2.32,12298
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,90,1,2026-08-27T13:04:06.804+0200,dw04,0F85,110,1962,6,-1047,1659,3.96,62225
ground-height-0m-20260825-163632,d020m_r000_run01.csv,0,20,0,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw00;dw01;dw02;dw03;dw04;dw05;dw06;dw07;dw08,dw01;dw02;dw05;dw06;dw07;dw08,75,1,2026-08-27T13:04:06.853+0200,dw03,021B,14,1964,-21,-1387,1389,2.32,12268
